date/time: ,26/10/2022,05:17 p.m.
Run 1

time	(N)
6,793333	1,704423E+0
6,800000	1,731991E+0
6,806667	1,735437E+0
6,813333	1,776789E+0
6,820000	1,787127E+0
6,826667	1,835372E+0
6,833333	1,859494E+0
6,840000	1,918076E+0
6,846667	1,969766E+0
6,853333	2,042133E+0
6,860000	2,155851E+0
6,866667	2,238556E+0
6,873333	2,338490E+0
6,880000	2,403965E+0
6,886667	2,486669E+0
6,893333	2,565928E+0
6,900000	2,631402E+0
6,906667	2,710661E+0
6,913333	2,769243E+0
6,920000	2,879515E+0
6,926667	2,951882E+0
6,933333	3,062154E+0
6,940000	3,120737E+0
6,946667	3,224117E+0
6,953333	3,317160E+0
6,960000	3,430878E+0
6,966667	3,510137E+0
6,973333	3,565273E+0
6,980000	3,637640E+0
6,986667	3,692776E+0
6,993333	3,765142E+0
7,000000	3,792710E+0
7,006667	3,830617E+0
7,013333	3,854739E+0
7,020000	3,906429E+0
7,026667	3,944335E+0
7,033333	3,975349E+0
7,040000	4,023594E+0
7,046667	4,071838E+0
7,053333	4,095960E+0
7,060000	4,089068E+0
7,066667	4,082176E+0
